Q2.9a;Q2.9b;Q2.9c;Q2.9d;Q2.9e;Q2.9f;Q2.9g;Q2.9h;Q2.10a;Q2.10c_R;Q2.10b;Q2.10d_R;Q2.10g;Q2.10e;Q2.10f;Q2.10i;Q3.13c;Q3.13f;Q3.13h;Q3.13e;Q3.13g;Q3.13i;Q4.16a;Q4.16h;Q4.16i;Q4.16b;Q4.16c;Q4.16d;Q4.16e;Q4.16g;Q4.16j;Q5.26a;Q5.26b;Q5.26e;Q5.26c;Q5.26d;Q6.31a;Q6.31b;Q6.31c_R;Q6.31d_R;Q6.31e;Q6.33b;Q6.33e;Q6.33h;Q6.33n
1;3;3;5;4;3;5;4;4;4;4;5;4;4;2;2;5;4;4;3;5;5;4;4;4;4;2;2;4;5;4;3;5;5;2;2;4;4;4;4;4;4;4;4;2
2;2;2;2;2;2;2;2;2;4;2;4;2;2;2;2;5;5;5;5;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;4;4;2;1;1;1;1
1;1;2;2;3;2;3;3;2;4;2;4;3;2;3;5;2;1;1;1;2;3;1;2;3;2;2;2;2;2;3;2;2;4;2;2;4;4;4;2;2;5;4;3;4
4;4;4;4;4;4;4;4;4;2;4;2;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;4;4;4;5;5
5;4;4;3;3;4;5;5;4;5;4;5;5;4;4;4;4;3;3;4;4;4;5;5;5;5;2;2;4;5;3;3;4;3;4;2;3;4;3;4;4;4;4;4;4
1;3;5;5;5;1;4;4;1;5;1;5;1;1;1;3;3;1;3;1;1;1;4;3;3;3;3;4;3;4;3;1;4;4;1;1;3;3;3;3;3;4;4;4;2
4;5;5;5;4;3;5;5;4;5;5;4;3;3;4;4;5;4;4;3;4;5;4;4;4;3;2;2;4;4;5;3;5;5;4;4;4;4;3;4;4;5;5;5;5
1;4;5;3;5;1;3;3;5;5;3;4;3;3;4;5;3;2;3;5;5;5;5;5;5;4;1;1;5;5;5;1;5;5;5;3;3;3;3;5;3;4;5;5;3
1;3;3;4;3;1;4;4;4;3;4;3;3;3;3;4;3;3;3;3;3;4;4;4;4;2;3;3;4;4;3;4;5;4;3;3;4;4;2;3;4;4;3;3;3
2;3;4;3;1;2;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;3;5;4;4;4;2;2;4;4;4;2;4;4;4;4;4;4;2;4;4;5;5;4;4
1;4;4;5;2;4;5;5;4;5;1;3;5;4;3;5;5;4;4;3;4;5;1;5;5;4;4;2;5;5;5;1;5;5;4;2;4;4;2;2;1;5;5;5;3
3;3;4;5;3;4;5;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;3;3;2;4;5;4;4;4;4;4;4;3;3;2;3;3;4;4;4;4
1;3;4;4;3;3;4;4;3;3;4;3;2;3;5;4;4;3;3;3;4;4;4;4;4;3;4;4;4;4;5;4;5;5;3;3;4;3;2;3;3;4;5;5;3
2;4;3;4;1;3;4;4;4;3;4;4;4;4;4;4;4;4;4;3;3;3;4;4;3;3;3;4;3;4;4;3;4;4;3;3;3;3;2;2;2;4;4;4;3
1;4;3;5;1;2;5;5;4;4;4;3;4;5;5;5;5;4;4;4;5;5;4;5;5;4;4;2;5;5;5;2;5;5;4;4;5;5;1;2;4;5;5;5;2
5;5;4;5;5;4;5;5;5;5;5;5;5;5;5;4;5;4;4;5;4;4;1;4;4;4;1;1;3;4;4;5;5;4;4;4;4;4;5;5;4;4;4;4;4
1;2;4;4;1;4;4;4;4;4;4;2;2;3;4;3;4;4;4;4;4;4;4;5;4;4;3;4;4;4;4;2;4;4;4;4;4;4;2;2;2;4;4;5;4
4;2;4;4;1;1;5;4;5;3;4;2;4;3;4;4;3;3;4;4;4;4;4;3;4;3;4;3;5;5;4;1;4;5;3;3;4;4;2;2;3;5;3;4;4
2;4;4;4;2;2;4;4;4;5;4;4;4;4;4;5;4;4;4;4;4;4;5;5;5;4;3;3;5;3;4;3;5;5;4;4;4;4;2;3;3;5;4;4;3
4;3;5;4;1;4;5;3;2;4;3;3;3;2;4;4;4;4;4;3;3;4;4;4;3;3;3;3;4;4;4;3;4;5;3;3;4;3;4;4;4;2;3;3;2
1;3;5;5;4;4;5;5;5;2;5;1;4;4;5;5;4;4;3;4;4;3;4;4;4;2;3;2;3;4;3;4;4;4;4;4;4;4;1;2;4;4;4;4;4
3;4;4;3;3;3;3;3;3;3;2;4;4;3;3;3;4;4;4;3;4;4;3;3;3;3;3;3;3;3;3;3;4;4;3;3;3;3;3;3;3;4;4;3;3
2;4;4;5;3;4;5;5;4;4;4;4;2;4;4;4;4;4;5;4;4;4;5;5;5;4;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4
